date,open,high,low,close,volume,adjrate
1996-02-28,2.25,2.375,2.125,2.28125,3051600,0.25
1996-02-29,2.3125,2.3125,2.25,2.3125,453200,0.25
1996-03-01,2.3125,2.375,2.28125,2.3125,559200,0.25
1996-03-04,2.28125,2.3125,2.25,2.25,845200,0.25
1996-03-05,2.25,2.28125,2.1875,2.28125,1187200,0.25
1996-03-06,2.1875,2.28125,2.1875,2.1875,355600,0.25
1996-03-07,2.25,2.25,2.1875,2.21875,125200,0.25
1996-03-08,2.25,2.25,2.09375,2.09375,177600,0.25
1996-03-11,2.09375,2.15625,2.09375,2.15625,164400,0.25
1996-03-12,2.15625,2.15625,2.09375,2.15625,102800,0.25
1996-03-13,2.15625,2.1875,2.09375,2.09375,156400,0.25
1996-03-14,2.1875,2.1875,2.09375,2.09375,105200,0.25
1996-03-15,2.1875,2.1875,2.09375,2.1875,203200,0.25
1996-03-18,2.1875,2.1875,2.09375,2.09375,137600,0.25
1996-03-19,2.125,2.1875,2.09375,2.09375,116400,0.25
1996-03-20,2.09375,2.1875,2.09375,2.09375,46800,0.25
1996-03-21,2.09375,2.1875,2.09375,2.09375,49600,0.25
1996-03-22,2.15625,2.1875,2.09375,2.09375,71600,0.25
1996-03-25,2.09375,2.1875,2.09375,2.09375,112400,0.25
1996-03-26,2.09375,2.1875,2.09375,2.125,75600,0.25
1996-03-27,2.09375,2.1875,2.09375,2.1875,39200,0.25
1996-03-28,2.09375,2.1875,2.09375,2.1875,46800,0.25
1996-03-29,2.1875,2.1875,2.09375,2.09375,36800,0.25
1996-04-01,2.1875,2.25,2.09375,2.15625,178000,0.25
1996-04-02,2.25,2.25,2.15625,2.1875,525200,0.25
1996-04-03,2.25,2.25,2.1875,2.25,120400,0.25
1996-04-04,2.25,2.25,2.1875,2.21875,130800,0.25
1996-04-08,2.21875,2.23438,2.21875,2.21875,72800,0.25
1996-04-09,2.23438,2.23438,2.1875,2.1875,344800,0.25
1996-04-10,2.1875,2.21875,2.1875,2.21875,445200,0.25
1996-04-11,2.1875,2.23438,2.1875,2.1875,54400,0.25
1996-04-12,2.1875,2.23438,2.1875,2.1875,76000,0.25
1996-04-15,2.23438,2.23438,2.1875,2.1875,72800,0.25
1996-04-16,2.23438,2.23438,2.1875,2.21875,254400,0.25
1996-04-17,2.1875,2.21875,2.15625,2.15625,180800,0.25
1996-04-18,2.15625,2.1875,2.15625,2.1875,134000,0.25
1996-04-19,2.15625,2.21875,2.15625,2.15625,47600,0.25
1996-04-22,2.21875,2.21875,2.15625,2.1875,117200,0.25
1996-04-23,2.15625,2.21875,2.15625,2.15625,99600,0.25
1996-04-24,2.15625,2.21875,2.15625,2.15625,50800,0.25
1996-04-25,2.21875,2.21875,2.15625,2.21875,188800,0.25
1996-04-26,2.15625,2.21875,2.15625,2.15625,92800,0.25
1996-04-29,2.15625,2.21875,2.15625,2.21875,501600,0.25
1996-04-30,2.21875,2.3125,2.1875,2.21875,150800,0.25
1996-05-01,2.3125,2.3125,2.21875,2.25,39200,0.25
1996-05-02,2.25,2.3125,2.21875,2.3125,28800,0.25
1996-05-03,2.3125,2.3125,2.21875,2.3125,27600,0.25
1996-05-06,2.3125,2.46875,2.25,2.375,240000,0.25
1996-05-07,2.4375,2.53125,2.375,2.53125,218800,0.25
1996-05-08,2.53125,2.75,2.4375,2.75,277600,0.25
1996-05-09,2.78125,2.9375,2.6875,2.78125,772000,0.25
1996-05-10,2.78125,2.78125,2.6875,2.6875,185200,0.25
1996-05-13,2.71875,2.78125,2.6875,2.6875,137200,0.25
1996-05-14,2.78125,2.78125,2.65625,2.6875,128400,0.25
1996-05-15,2.65625,2.75,2.53125,2.625,228000,0.25
1996-05-16,2.625,2.625,2.5625,2.625,119200,0.25
1996-05-17,2.5625,2.625,2.375,2.53125,264400,0.25
1996-05-20,2.5,2.5,2.375,2.375,81200,0.25
1996-05-21,2.46875,2.46875,2.375,2.46875,128000,0.25
1996-05-22,2.46875,2.71875,2.375,2.5625,548400,0.25
1996-05-23,2.5625,2.5625,2.5,2.5,37600,0.25
1996-05-24,2.5625,2.59375,2.5,2.5,132400,0.25
1996-05-28,2.59375,2.59375,2.5,2.51562,145200,0.25
1996-05-29,2.5,2.59375,2.46875,2.46875,114800,0.25
1996-05-30,2.59375,2.59375,2.46875,2.46875,41200,0.25
1996-05-31,2.46875,2.59375,2.46875,2.59375,49200,0.25
1996-06-03,2.46875,2.59375,2.46875,2.46875,55200,0.25
1996-06-04,2.5625,2.5625,2.46875,2.46875,61200,0.25
1996-06-05,2.46875,2.5625,2.46875,2.53125,101600,0.25
1996-06-06,2.53125,2.53125,2.46875,2.46875,91200,0.25
1996-06-07,2.46875,2.53125,2.46875,2.46875,170400,0.25
1996-06-10,2.53125,2.53125,2.46875,2.46875,44400,0.25
1996-06-11,2.53125,2.53125,2.46875,2.48438,41600,0.25
1996-06-12,2.46875,2.5,2.46875,2.46875,43600,0.25
1996-06-13,2.46875,2.53125,2.46875,2.46875,44000,0.25
1996-06-14,2.53125,2.53125,2.46875,2.5,74000,0.25
1996-06-17,2.46875,2.53125,2.46875,2.53125,20800,0.25
1996-06-18,2.53125,2.53125,2.40625,2.40625,314000,0.25
1996-06-19,2.5,2.5,2.34375,2.375,639200,0.25
1996-06-20,2.375,2.4375,2.375,2.375,336000,0.25
1996-06-21,2.34375,2.34375,2.28125,2.28125,302000,0.25
1996-06-24,2.28125,2.34375,2.25,2.28125,172000,0.25
1996-06-25,2.21875,2.3125,2.21875,2.21875,329200,0.25
1996-06-26,2.21875,2.28125,2.21875,2.21875,142000,0.25
1996-06-27,2.1875,2.28125,2.15625,2.15625,72800,0.25
1996-06-28,2.15625,2.25,2.15625,2.1875,107200,0.25
1996-07-01,2.1875,2.25,2.125,2.15625,1419600,0.25
1996-07-02,2.25,2.25,2.15625,2.15625,24000,0.25
1996-07-03,2.25,2.25,2.125,2.125,77200,0.25
1996-07-05,2.21875,2.21875,2.0625,2.0625,45600,0.25
1996-07-08,2.0625,2.125,1.96875,1.96875,102400,0.25
1996-07-09,2.09375,2.09375,1.875,1.90625,590800,0.25
1996-07-10,1.96875,1.96875,1.78125,1.84375,182000,0.25
1996-07-11,1.84375,1.84375,1.53125,1.65625,224400,0.25
1996-07-12,1.6875,1.6875,1.5625,1.59375,272000,0.25
1996-07-15,1.625,1.625,1.5625,1.5625,39600,0.25
1996-07-16,1.625,1.65625,1.5625,1.57812,200800,0.25
1996-07-17,1.625,1.625,1.59375,1.59375,34800,0.25
1996-07-18,1.625,1.625,1.5625,1.625,72000,0.25
1996-07-19,1.5625,1.59375,1.5,1.59375,154000,0.25
1996-07-22,1.59375,1.59375,1.5,1.5,126400,0.25
1996-07-23,1.59375,1.59375,1.5,1.59375,135600,0.25
1996-07-24,1.5,1.5625,1.5,1.5625,45600,0.25
1996-07-25,1.5,1.5625,1.5,1.5625,47600,0.25
1996-07-26,1.5625,1.65625,1.5,1.59375,66000,0.25
1996-07-29,1.59375,1.59375,1.5,1.5,64800,0.25
1996-07-30,1.5,1.53125,1.5,1.53125,77600,0.25
1996-07-31,1.51562,1.53125,1.5,1.5,101600,0.25
1996-08-01,1.51562,1.53125,1.5,1.53125,144000,0.25
1996-08-02,1.53125,1.5625,1.5,1.5,33200,0.25
1996-08-05,1.5,1.5625,1.5,1.5625,6800,0.25
1996-08-06,1.5625,1.5625,1.5,1.5625,200800,0.25
